model,population_size,sample_size,nominal_defect_rate,acceptable_defectives,first_unacceptable_defectives,accept_confidence,reject_confidence,accept_alpha,reject_alpha,accept_cutoff,reject_cutoff,accept_tail_at_cutoff,accept_tail_after_cutoff,reject_tail_at_cutoff,reject_tail_before_cutoff,inconclusive_low,inconclusive_high,accept_constraint_ok,reject_constraint_ok,accept_boundary_maximal_ok,reject_boundary_minimal_ok,disjoint_regions_ok,has_accept_region,has_reject_region,has_both_regions
binomial,,99,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,5,16,0.06115161022396497,0.12337828268165399,0.03680385239655949,0.06767059954181232,6,15,True,True,True,True,True,True,True,True
binomial,,100,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,5,16,0.057576886487035905,0.11715561543588508,0.03989052711108384,0.07257296526488316,6,15,True,True,True,True,True,True,True,True
binomial,,101,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,5,16,0.05419030610467766,0.11119774254100226,0.04315877092646414,0.07770334799832683,6,15,True,True,True,True,True,True,True,True
binomial,,102,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,5,16,0.050983637805134534,0.10549699889736674,0.04661322863364997,0.083063713406032,6,15,True,True,True,True,True,True,True,True
binomial,,103,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,5,17,0.047948873373195575,0.10004566278814254,0.02679327753866824,0.050258277110888906,6,16,True,True,True,True,True,True,True,True
binomial,,104,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,6,17,0.09483598384664835,0.17223692812028135,0.029139777495891042,0.054098004313614584,7,16,True,True,True,True,True,True,True,True
binomial,,105,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,6,17,0.08986020885763094,0.1644968336929183,0.0316356001776626,0.05813618932681977,7,16,True,True,True,True,True,True,True,True
binomial,,106,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,6,17,0.08511060545902153,0.15703317120939575,0.03428565909257836,0.06237628359068359,7,16,True,True,True,True,True,True,True,True
binomial,,107,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,6,17,0.08057948381674737,0.14984091463435908,0.037094721542388326,0.06682139340137043,7,16,True,True,True,True,True,True,True,True
binomial,,108,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,6,17,0.07625921634990632,0.14291477155259696,0.040067388728285226,0.07147426377929994,7,16,True,True,True,True,True,True,True,True
binomial,,109,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,6,17,0.07214225558738752,0.13624921603232454,0.04320807623338778,0.07633726378719971,7,16,True,True,True,True,True,True,True,True
binomial,,110,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,6,17,0.06822115023978154,0.12983851998783338,0.046520994988769104,0.08141237336991006,7,16,True,True,True,True,True,True,True,True
binomial,,111,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,6,18,0.06448855957235293,0.12367678301302158,0.02722811517802019,0.05001013282688286,7,17,True,True,True,True,True,True,True,True
binomial,,112,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,6,18,0.060937266165912156,0.11775796066895895,0.029506316942906022,0.05367923672191181,7,17,True,True,True,True,True,True,True,True
binomial,,113,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,6,18,0.05756018715299764,0.11207589121865158,0.03192360892080762,0.057531795811690364,7,17,True,True,True,True,True,True,True,True
binomial,,114,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,6,18,0.05435038401642048,0.10662432081209197,0.034484427609895466,0.06157102529035467,7,17,True,True,True,True,True,True,True,True
binomial,,115,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,6,18,0.05130107103667451,0.10139692713252375,0.03719308737794104,0.06579985125475198,7,17,True,True,True,True,True,True,True,True
binomial,,116,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,7,18,0.09638734152294079,0.1690263328619217,0.040053763765621586,0.07022089658116881,8,17,True,True,True,True,True,True,True,True
binomial,,117,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,7,18,0.09158916961797614,0.16176243372802368,0.04307047704717668,0.07483646790194862,8,17,True,True,True,True,True,True,True,True
binomial,,118,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,7,18,0.0869960105125894,0.15474510731701613,0.046247076132654365,0.07964854374430516,8,17,True,True,True,True,True,True,True,True
binomial,,119,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,7,18,0.08260147450365471,0.14797019763657254,0.04958722289381931,0.08465876388605245,8,17,True,True,True,True,True,True,True,True
binomial,,120,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,7,19,0.07839919944510891,0.14143332532327707,0.029713349664887267,0.05309437699304271,8,18,True,True,True,True,True,True,True,True
binomial,,121,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,7,19,0.07438286576083833,0.13512991273546374,0.03205145239770267,0.05677178129125823,8,18,True,True,True,True,True,True,True,True
binomial,,122,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,7,19,0.07054621016244349,0.12905520803800166,0.03452348528705872,0.06062244790736816,8,18,True,True,True,True,True,True,True,True
binomial,,123,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,7,19,0.06688303812153909,0.12320430825044958,0.03713338154908878,0.06464914499735883,8,18,True,True,True,True,True,True,True,True
binomial,,124,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,7,19,0.06338723514802039,0.11757218123755898,0.03988495789391572,0.06885438431681022,8,18,True,True,True,True,True,True,True,True
binomial,,125,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,7,19,0.06005277692712467,0.11215368662860334,0.042781900536204565,0.07324040962569897,8,18,True,True,True,True,True,True,True,True
binomial,,126,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,7,19,0.05687373836906842,0.10694359565845785,0.045827751445154746,0.07780918598912213,8,18,True,True,True,True,True,True,True,True
binomial,,127,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,7,19,0.05384430162550956,0.10193660992951514,0.049025894899551156,0.08256239002226401,8,18,True,True,True,True,True,True,True,True
binomial,,128,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,8,20,0.09712737909911909,0.16552532868703815,0.0297865371712595,0.052379544411823076,9,19,True,True,True,True,True,True,True,True
binomial,,129,0.1,,,0.9,0.95,0.09999999999999998,0.050000000000000044,8,20,0.09251051750192918,0.15868553372824884,0.03204583789531655,0.05589173008285648,9,19,True,True,True,True,True,True,True,True
